round,train_loss,train_accuracy,val_loss,val_accuracy,round_time_sec
1,0.7041016292572021,0.7556,0.8344677186012268,0.7006,151.70970339999985
2,0.6806473883152008,0.7673,0.8166794061660767,0.709,154.4271578000007
3,0.6946510637760163,0.7566,0.8369512170791626,0.7072,154.9609777000005
4,0.6299636140823365,0.7751,0.7890147152900696,0.7204,154.76788469999883
5,0.6453343932151795,0.7733,0.8142269394874573,0.7186,154.08336939999936
6,0.5663164278745652,0.805,0.7300669713974,0.7466,153.14271639999788
7,0.513833922624588,0.8219,0.7080624943733216,0.7504,151.59258649999902
8,0.511930884218216,0.8234,0.716134093284607,0.747,151.1269844999988
9,0.588392746424675,0.7887,0.8153710835456848,0.7058,150.7970172000023
10,0.6271830785751342,0.7679,0.854172180557251,0.7056,151.21682760000112
